Year,Close,Change
2010,36.489628,11.21854408
2011,33.602249,-8.592814725
2012,39.847542,15.67296924
2013,49.220055,19.04206121
2014,51.042339,3.570142034
2015,50.080189,-1.921218788
2016,54.284752,7.745384929
2017,67.637154,19.74122388
2018,60.969761,-10.93557346
2019,77.32756,21.15390554
2020,90.293907,14.36015721
2021,106.627602,15.31844916
