date,total_cases,total_vaccinations,total_deaths,price
16 November 2021,254843625,7586489531,5116223,241.923431
17 November 2021,255469953,7619181887,5125412,240.927002
18 November 2021,256083934,7650321092,5133691,241.305649
19 November 2021,256698685,7683338828,5141724,240.618103
20 November 2021,257177089,7718692947,5147774,
21 November 2021,257574539,7745855177,5152288,
22 November 2021,258198037,7775507600,5159522,239.462265
23 November 2021,258808073,7807427813,5167564,239.541962
24 November 2021,259479464,7844932792,5176221,240.349091
25 November 2021,260077827,7874099386,5184024,
26 November 2021,260672259,7909731808,5190782,235.14772
27 November 2021,261122929,7940219318,5196641,
28 November 2021,261529648,7978982803,5201374,
29 November 2021,262192689,8012032440,5209124,237.359787
30 November 2021,262818343,8052401580,5217050,232.616776
01 December 2021,263526081,8095433026,5226206,229.338516
02 December 2021,264226450,8136241469,5236239,233.065155
03 December 2021,264940453,8167876047,5244707,230.364838
04 December 2021,265448446,8206383452,5250149,
05 December 2021,265887208,8237008062,5257433,
06 December 2021,266479904,8266214888,5264382,233.324249
07 December 2021,267172457,8296010101,5272588,238.31636
08 December 2021,267845234,8333046545,5280603,239.342682
09 December 2021,268573169,8372538178,5289323,237.060852
10 December 2021,269270292,8422803792,5297359,238.675079
11 December 2021,269765294,8470561516,5303201,
12 December 2021,270201389,8501001743,5307669,
13 December 2021,270829349,8530625701,5314115,236.502853
14 December 2021,271491083,8574304932,5321775,234.729218
15 December 2021,272229776,8617147051,5330839,238.346252
16 December 2021,272970953,8649783786,5338069,235.675827
17 December 2021,273699358,8694206765,5344904,234.59967
18 December 2021,274274413,8729094157,5350816,
19 December 2021,274751745,8761920876,5355029,
20 December 2021,275504086,8806509314,5361857,231.301483
21 December 2021,276293870,8844573402,5369476,235.835236
22 December 2021,277194688,8878730682,5377591,238.166901
23 December 2021,278177141,8924218049,5386736,239.811005
24 December 2021,279011244,8956991182,5392876,
25 December 2021,279523785,8983752713,5396980,
26 December 2021,279996000,9008818366,5400378,
27 December 2021,281486304,9041915685,5406934,242.960007
28 December 2021,282800017,9082039033,5414213,242.460007
29 December 2021,284530653,9118779206,5422092,242.600006
30 December 2021,286480121,9151879568,5429544,242.210007
31 December 2021,288195906,9180260623,5436581,
