DATE,Denmark,Percentage
01/01/2019,2.69374E+11,
01/04/2019,2.68269E+11,-0.412161543
01/07/2019,2.69044E+11,0.288094462
01/10/2019,2.73213E+11,1.525989439
01/01/2020,2.6653E+11,-2.507295609
01/04/2020,2.54669E+11,-4.657373307
01/07/2020,2.74284E+11,7.151135849
01/10/2020,2.7523E+11,0.343640489
01/01/2021,2.62313E+11,-4.92395925
01/04/2021,2.83007E+11,7.31208062
