Date,Open,High,Low,Close,Adj Close,Volume
01/01/2020,164.679993,164.979996,162.830002,164.100006,159.699341,16228700
08/01/2020,164.199997,167.119995,164.039993,166.5,162.034988,17543800
15/01/2020,166.5,169.009995,166.419998,168.399994,163.884018,10131000
22/01/2020,168.929993,169.320007,163.839996,166.169998,161.713821,16479600
29/01/2020,166.960007,168.020004,163.039993,167.559998,163.066544,14628800
05/02/2020,169.130005,171.25,168.169998,170.419998,165.849838,14331000
12/02/2020,171.240005,171.929993,170.529999,171.300003,166.706238,9968800
19/02/2020,171.919998,172.559998,158.770004,159.279999,155.008591,31356400
26/02/2020,160.009995,161.809998,145.300003,152.630005,148.536926,65561600
04/03/2020,155.520004,158.75,137.899994,145.369995,141.471603,50747800
11/03/2020,141.449997,142.199997,118,126.5,123.107651,78380000
18/03/2020,118.5,122.800003,109.489998,122.529999,119.244118,66166300
25/03/2020,123.540001,131.630005,120.589996,128.910004,125.453026,53787400
01/04/2020,124.129997,137.279999,121.769997,132.160004,129.254761,40579500
08/04/2020,133.729996,142.210007,132.419998,141.880005,138.761108,28822900
15/04/2020,138.740005,143.479996,135.869995,136.449997,133.45047,28658000
22/04/2020,139.259995,146.479996,138.360001,143.690002,140.531296,25505500
29/04/2020,146.809998,148.539993,139.800003,143.669998,140.511734,21859300
06/05/2020,144.610001,148.309998,142.699997,144.350006,141.176788,21077300
13/05/2020,143.899994,149.410004,138.369995,147.020004,143.788086,25007400
20/05/2020,149.169998,152.889999,147.970001,151.339996,148.013138,14513700
27/05/2020,153,156,150.020004,155.919998,152.492447,22091400
03/06/2020,157.199997,164.199997,156.619995,162.600006,159.025604,28550700
10/06/2020,162.809998,163.25,149.850006,158.610001,155.123291,33120000
17/06/2020,159.139999,159.979996,156.050003,158.789993,155.299347,15441300
24/06/2020,157.630005,157.910004,151.350006,156.529999,153.089035,18745800
01/07/2020,156.899994,161.029999,156.610001,158.929993,156.143814,12487500
08/07/2020,159.309998,163.550003,157.279999,161.300003,158.472275,15207900
15/07/2020,163.330002,165.899994,161.669998,164.910004,162.018982,13538400
22/07/2020,164.589996,166.199997,161.899994,162.889999,160.034378,12527300
29/07/2020,163.460007,167.619995,162.410004,167.619995,164.681458,14939600
05/08/2020,168.479996,171.330002,168.279999,168.899994,165.939026,12649400
12/08/2020,170.369995,172.270004,170.339996,171.970001,168.955215,14799800
19/08/2020,172.169998,174.470001,170.190002,174.449997,171.391739,14390100
26/08/2020,174.729996,178.990005,174.479996,178.850006,175.714615,16106800
02/09/2020,180,181.669998,168.360001,168.580002,165.624634,17719200
09/09/2020,170.830002,173.639999,167.5,172.740005,169.711716,16416200
16/09/2020,173.460007,174.380005,164.270004,168.710007,165.75238,15051500
23/09/2020,169,170.300003,162.850006,169.039993,166.076569,14261500
30/09/2020,169.509995,174.979996,168.229996,171.320007,169.007019,15723600
07/10/2020,172.990005,180.639999,172.940002,179,176.583328,12121500
14/10/2020,179.199997,179.919998,174.619995,175.619995,173.248962,12267800
21/10/2020,175.660004,176.949997,171.600006,172.929993,170.595276,15810900
28/10/2020,169.899994,172.960007,165.020004,171.970001,169.648254,19546500
04/11/2020,174.160004,187.520004,173.690002,181.089996,178.645096,21691300
11/11/2020,182.429993,185.690002,179.699997,185.139999,182.640442,22922300
18/11/2020,185.449997,187.820007,182.210007,187.589996,185.057358,18875100
25/11/2020,187.449997,189.800003,185.539993,189.070007,186.51738,12791000
02/12/2020,188.440002,192.389999,187.800003,192.130005,189.536057,20410100
09/12/2020,192.539993,192.639999,188.600006,192.240005,189.644592,17913600
16/12/2020,192.470001,194.470001,189.820007,192.949997,190.344986,21006700
23/12/2020,193.649994,194.949997,192.240005,193.229996,190.621216,13582100
30/12/2020,193.899994,195.429993,189.759995,193.419998,191.583786,20780200
06/01/2021,192.5,199.460007,192.460007,198.759995,196.873093,26278000
13/01/2021,198.729996,200.029999,195.979996,198.860001,196.972137,15353300
20/01/2021,200.080002,202.339996,198.350006,200.729996,198.824387,20601500
27/01/2021,199.050003,200.960007,192.820007,200.130005,198.230103,27532900
03/02/2021,200.820007,206.449997,199.589996,206.020004,204.064178,15840700
10/02/2021,207.070007,208.389999,204.449997,207.119995,205.153717,13684800
17/02/2021,206.020004,207.029999,199.360001,203.979996,202.043533,23172900
24/02/2021,203.600006,206.479996,198.550003,203.289993,201.360077,27179300
03/03/2021,203.220001,204.350006,194.110001,202.869995,200.944077,26545100
10/03/2021,204.550003,209.300003,203.610001,208.009995,206.035278,20327300
17/03/2021,207.309998,209.289993,203.570007,204.020004,202.08316,19228600
24/03/2021,205.169998,206.639999,199.5,205.440002,203.489685,21069600
31/03/2021,206.050003,212.490005,206,211.800003,210.488388,20009400
07/04/2021,211.789993,215.279999,211.089996,214.800003,213.469818,18426800
14/04/2021,215.059998,217.470001,212.919998,213.75,212.426315,22708400
21/04/2021,213.649994,218.330002,213.25,217.899994,216.550613,17809500
28/04/2021,218.070007,219.649994,213.809998,215.850006,214.513321,18785600
05/05/2021,216.940002,218.990005,212.020004,214.440002,213.112045,20435600
12/05/2021,212.940002,215.960007,209.210007,213.399994,212.078476,22288200
19/05/2021,210.570007,218.020004,209.75,216.539993,215.199036,19690900
26/05/2021,216.979996,219.529999,216.479996,218.179993,216.828888,12316700
02/06/2021,218.619995,220.279999,216.080002,220.020004,218.657486,14448000
09/06/2021,220.410004,221.529999,219.190002,220.779999,219.412781,14745900
16/06/2021,220.970001,221.350006,216.529999,220.990005,219.62149,17555100
23/06/2021,221.100006,223.399994,220.809998,222.809998,221.430222,15558000
30/06/2021,222.690002,225.520004,222.460007,224.779999,224.072708,14051300
07/07/2021,225.080002,226.610001,221.139999,225.25,224.541229,20377900
14/07/2021,226.270004,226.460007,217.820007,223.020004,222.318253,21639100
21/07/2021,223.75,227.919998,223.550003,226.690002,225.9767,14780700
28/07/2021,227.119995,228.75,225.279999,227.990005,227.272614,15916300
04/08/2021,227.190002,229.309998,226.75,228.929993,228.209641,14421500
11/08/2021,229.440002,230.25,226.779999,228.529999,227.810913,15240200
18/08/2021,228.110001,231.410004,224.399994,231.139999,230.412704,15765900
25/08/2021,231.389999,233.970001,230.160004,233.169998,232.43631,16291700
01/09/2021,233.820007,234.649994,233.020004,233.279999,232.545959,12548700
08/09/2021,233.009995,233.649994,228.619995,229.210007,228.48877,16147200
15/09/2021,229.419998,231.520004,222.309998,225.050003,224.341858,20528000
22/09/2021,226.330002,230.949997,224.050003,224.339996,223.634094,19023500
29/09/2021,225.220001,228.399994,220.539993,223.800003,223.800003,23366500
06/10/2021,221.889999,228.360001,220.979996,224.600006,224.600006,13331200
13/10/2021,225.169998,233.279999,223.649994,233.259995,233.259995,14347600
20/10/2021,233.550003,237.190002,233.320007,235.710007,235.710007,12752700
27/10/2021,236.050003,238.929993,233.990005,238.830002,238.830002,17051700
03/11/2021,238.690002,243.559998,238.300003,242.059998,242.059998,17343800
10/11/2021,241.139999,243.330002,238.729996,242.789993,242.789993,14630700
17/11/2021,242.600006,243.600006,238.240005,240.399994,240.399994,17399600
24/11/2021,239.139999,241.210007,233.100006,233.449997,233.449997,19946300
01/12/2021,236.410004,239.699997,229.020004,239.169998,239.169998,23846400
08/12/2021,239.570007,240.380005,237.139999,237.350006,237.350006,14718500
13/12/2021,239.5,239.600006,237.134995,237.350006,237.350006,4202639
