ETF,date,price,index
VT,12/07/2020,,0
VT,13/07/2020,74.473351,93.65374939
VT,14/07/2020,75.346764,94.7521074
VT,15/07/2020,76.14254,95.75283323
VT,16/07/2020,75.71553,95.21584803
VT,17/07/2020,75.987274,95.55757892
VT,18/07/2020,,0
VT,19/07/2020,,0
VT,20/07/2020,76.598656,96.32642061
VT,21/07/2020,76.889809,96.69255923
VT,22/07/2020,77.200356,97.08308672
VT,23/07/2020,76.385155,96.05793303
VT,24/07/2020,75.97757,95.54537568
VT,25/07/2020,,0
VT,26/07/2020,,0
VT,27/07/2020,76.792755,96.57050925
VT,28/07/2020,76.2687,95.91148538
VT,29/07/2020,77.239166,97.13189212
VT,30/07/2020,76.734528,96.49728605
VT,31/07/2020,76.433685,96.1189618
VT,01/08/2020,,0
VT,02/08/2020,,0
VT,03/08/2020,77.3265,97.24171874
VT,04/08/2020,77.714699,97.72989729
VT,05/08/2020,78.238754,98.38892115
VT,06/08/2020,78.5784,98.81604201
VT,07/08/2020,78.306679,98.47434004
VT,08/08/2020,,0
VT,09/08/2020,,0
VT,10/08/2020,78.52018,98.74282761
VT,11/08/2020,78.277565,98.43772781
VT,12/08/2020,79.451828,99.91441889
VT,13/08/2020,79.238327,99.64593132
VT,14/08/2020,79.092758,99.46287144
VT,15/08/2020,,0
VT,16/08/2020,,0
VT,17/08/2020,79.57798,100.073061
VT,18/08/2020,79.64592,100.1584987
VT,19/08/2020,79.248032,99.65813581
VT,20/08/2020,79.267441,99.68254354
VT,21/08/2020,79.345078,99.78017573
VT,22/08/2020,,0
VT,23/08/2020,,0
VT,24/08/2020,80.169968,100.8175138
VT,25/08/2020,80.451401,101.1714291
VT,26/08/2020,81.082191,101.9646772
VT,27/08/2020,80.897812,101.7328119
VT,28/08/2020,81.489807,102.4772735
VT,29/08/2020,,0
VT,30/08/2020,,0
VT,31/08/2020,81.023972,101.8914641
VT,01/09/2020,81.635376,102.6603334
VT,02/09/2020,82.557297,103.8196925
VT,03/09/2020,80.082619,100.7076683
VT,04/09/2020,79.781776,100.3293441
VT,05/09/2020,,0
VT,06/09/2020,,0
VT,07/09/2020,,0
VT,08/09/2020,77.937889,98.01056923
VT,09/09/2020,79.364479,99.8045734
VT,10/09/2020,78.248444,98.40110678
VT,11/09/2020,78.55899,98.79163302
VT,12/09/2020,,0
VT,13/09/2020,,0
VT,14/09/2020,79.548859,100.0364399
VT,15/09/2020,80.014694,100.6222494
VT,16/09/2020,79.878822,100.451384
VT,17/09/2020,79.451828,99.91441889
VT,18/09/2020,78.75309,99.03572292
VT,19/09/2020,,0
VT,20/09/2020,,0
VT,21/09/2020,77.605164,97.59215186
VT,22/09/2020,77.966034,98.0459629
VT,23/09/2020,76.46405,96.15714722
VT,24/09/2020,76.503067,96.20621293
VT,25/09/2020,77.341835,97.26100323
VT,26/09/2020,,0
VT,27/09/2020,,0
VT,28/09/2020,78.560959,98.79410913
VT,29/09/2020,78.278122,98.43842827
VT,30/09/2020,78.648743,98.90450164
VT,01/10/2020,79.282684,99.70171233
VT,02/10/2020,78.775528,99.06393976
VT,03/10/2020,,0
VT,04/10/2020,,0
VT,05/10/2020,80.072685,100.6951758
VT,06/10/2020,79.253426,99.66491902
VT,07/10/2020,80.375031,101.0753902
VT,08/10/2020,81.038231,101.9093954
VT,09/10/2020,81.652687,102.6821028
VT,10/10/2020,,0
VT,11/10/2020,,0
VT,12/10/2020,82.549957,103.8104621
VT,13/10/2020,82.013535,103.1358862
VT,14/10/2020,81.652687,102.6821028
VT,15/10/2020,81.26255,102.1914872
VT,16/10/2020,81.301567,102.2405529
VT,17/10/2020,,0
VT,18/10/2020,,0
VT,19/10/2020,80.531082,101.2716317
VT,20/10/2020,80.911453,101.7499661
VT,21/10/2020,80.706627,101.4923878
VT,22/10/2020,81.01873,101.884872
VT,23/10/2020,81.389343,102.3509353
VT,24/10/2020,,0
VT,25/10/2020,,0
VT,26/10/2020,79.945885,100.5357189
VT,27/10/2020,79.604538,100.1064589
VT,28/10/2020,77.137001,97.00341482
