sector,date,index
cons_disc,01/09/2021,148.5266546
cons_disc,15/09/2021,148.4488309
cons_disc,01/10/2021,144.6071669
cons_disc,15/10/2021,149.9982313
cons_disc,01/11/2021,158.1485019
cons_disc,15/11/2021,159.0364003
cons_disc,01/12/2021,154.2113269
cons_disc,15/12/2021,153.7266971
cons_disc,31/12/2021,156.125084
IT,22/01/2020,100
IT,03/02/2020,98.67893586
IT,17/02/2020,103.7718659
IT,02/03/2020,94.75826045
IT,16/03/2020,73.36613217
IT,01/04/2020,78.06729835
IT,01/05/2020,90.38204568
IT,15/05/2020,94.6701895
IT,01/06/2020,100.173105
IT,15/06/2020,102.2503644
IT,01/07/2020,107.3098882
IT,15/07/2020,110.5776239
IT,03/08/2020,115.837585
IT,17/08/2020,117.2254616
IT,18/08/2020,117.6931487
IT,01/09/2020,127.8790087
IT,16/09/2020,117.0948737
IT,01/10/2020,120.8302964
IT,15/10/2020,124.5900146
IT,02/11/2020,113.5750729
IT,16/11/2020,124.9301506
IT,01/12/2020,128.7384597
IT,15/12/2020,130.8126822
IT,01/01/2021,134.7029883
IT,15/01/2021,133.2118562
IT,01/02/2021,137.1446793
IT,15/02/2021,144.7096696
IT,01/03/2021,139.5590379
IT,15/03/2021,136.601069
IT,01/04/2021,139.1946064
IT,15/04/2021,147.1574344
IT,30/04/2021,143.75
IT,15/05/2021,138.7633625
IT,01/06/2021,141.7122206
IT,15/06/2021,146.6775996
IT,02/07/2021,151.7097911
IT,15/07/2021,156.462585
IT,02/08/2021,157.2916667
IT,16/08/2021,159.2535228
IT,01/09/2021,163.4930758
IT,15/09/2021,163.0527211
IT,01/10/2021,155.2933673
IT,15/10/2021,160.273931
IT,01/11/2021,165.5095967
IT,15/11/2021,170.8302964
IT,01/12/2021,167.4927114
IT,15/12/2021,173.0958455
IT,31/12/2021,173.8763362
materials,22/01/2020,100
materials,03/02/2020,95.99985116
materials,17/02/2020,98.16179207
materials,02/03/2020,88.18932797
materials,16/03/2020,66.99412071
materials,01/04/2020,71.91337352
materials,01/05/2020,82.44399792
materials,15/05/2020,82.31748158
materials,01/06/2020,90.51871698
materials,15/06/2020,90.41452705
materials,01/07/2020,92.55786262
materials,15/07/2020,98.8353055
materials,03/08/2020,99.77301481
materials,17/08/2020,104.0001488
materials,18/08/2020,104.0261963
materials,01/09/2020,104.8783211
materials,16/09/2020,108.0784401
materials,01/10/2020,102.493116
materials,15/10/2020,105.0532113
materials,02/11/2020,101.9684453
materials,16/11/2020,110.3892238
materials,01/12/2020,113.8758651
materials,15/12/2020,116.1308328
materials,01/01/2021,118.6537173
materials,15/01/2021,122.5496763
materials,01/02/2021,118.5011535
materials,15/02/2021,123.9562402
materials,01/03/2021,123.3162164
materials,15/03/2021,125.407457
materials,01/04/2021,125.2548932
materials,15/04/2021,130.3862469
materials,30/04/2021,130.5797425
materials,15/05/2021,136.6264791
materials,01/06/2021,137.9511796
materials,15/06/2021,134.3343008
materials,02/07/2021,130.5834636
materials,15/07/2021,131.8374637
materials,02/08/2021,134.125921
materials,16/08/2021,134.8589715
materials,01/09/2021,132.5742353
materials,15/09/2021,130.717422
materials,01/10/2021,122.0919848
materials,15/10/2021,128.4103595
materials,01/11/2021,128.6447868
materials,15/11/2021,131.8300216
materials,01/12/2021,125.679095
materials,15/12/2021,128.8792141
materials,31/12/2021,134.0105678
healthcare,22/01/2020,100
healthcare,03/02/2020,96.48425238
healthcare,17/02/2020,99.63726413
healthcare,02/03/2020,92.65808657
healthcare,16/03/2020,78.09982212
healthcare,01/04/2020,83.24090544
healthcare,01/05/2020,93.99741899
healthcare,15/05/2020,96.13546789
healthcare,01/06/2020,98.75135154
healthcare,15/06/2020,95.42743539
healthcare,01/07/2020,98.4758118
healthcare,15/07/2020,102.0055108
healthcare,03/08/2020,103.0100101
healthcare,17/08/2020,103.6587493
healthcare,18/08/2020,103.7145548
healthcare,01/09/2020,103.0030344
healthcare,16/09/2020,102.9472289
healthcare,01/10/2020,101.8694848
healthcare,15/10/2020,102.6612256
healthcare,02/11/2020,98.79669352
healthcare,16/11/2020,106.9582505
healthcare,01/12/2020,106.2990478
healthcare,15/12/2020,107.1186914
healthcare,01/01/2021,108.970737
healthcare,15/01/2021,111.914478
healthcare,01/02/2021,110.4426075
healthcare,15/02/2021,112.9294409
healthcare,01/03/2021,108.2557288
healthcare,15/03/2021,108.5626591
healthcare,01/04/2021,109.2148861
healthcare,15/04/2021,112.9224652
healthcare,30/04/2021,113.3305431
healthcare,15/05/2021,114.4292142
healthcare,01/06/2021,114.0908932
healthcare,15/06/2021,118.143769
healthcare,02/07/2021,119.5877367
healthcare,15/07/2021,120.6515294
healthcare,02/08/2021,123.6266611
healthcare,16/08/2021,125.9914199
healthcare,01/09/2021,126.8040878
healthcare,15/09/2021,124.2544732
healthcare,01/10/2021,119.4621743
healthcare,15/10/2021,120.5643333
healthcare,01/11/2021,125.2171183
healthcare,15/11/2021,124.4986223
healthcare,01/12/2021,120.257403
healthcare,15/12/2021,125.6565868
healthcare,31/12/2021,128.9177217
industrials,22/01/2020,100
industrials,03/02/2020,97.49804257
industrials,17/02/2020,100.0177949
industrials,02/03/2020,89.79642679
industrials,16/03/2020,67.38202007
industrials,01/04/2020,69.06897288
industrials,01/05/2020,76.20827105
industrials,15/05/2020,73.95544167
industrials,01/06/2020,83.22656417
industrials,15/06/2020,83.96683038
industrials,01/07/2020,84.37255321
industrials,15/07/2020,88.42266353
industrials,03/08/2020,88.20556623
industrials,17/08/2020,93.93551142
industrials,18/08/2020,93.81806534
industrials,01/09/2020,95.28792085
industrials,16/09/2020,96.70795074
industrials,01/10/2020,94.06363442
industrials,15/10/2020,97.06740693
industrials,02/11/2020,93.76112179
industrials,16/11/2020,105.4381095
industrials,01/12/2020,106.1570219
industrials,15/12/2020,107.3528365
industrials,01/01/2021,108.2959641
industrials,15/01/2021,109.4704249
industrials,01/02/2021,106.3776781
industrials,15/02/2021,111.9901772
industrials,01/03/2021,112.3425155
industrials,15/03/2021,116.0224927
industrials,01/04/2021,117.0510357
industrials,15/04/2021,119.6170546
industrials,30/04/2021,119.3465727
industrials,15/05/2021,121.4499253
industrials,01/06/2021,123.3931241
industrials,15/06/2021,122.4998221
industrials,02/07/2021,121.0655563
industrials,15/07/2021,121.8093815
industrials,02/08/2021,122.3645811
industrials,16/08/2021,124.3113389
industrials,01/09/2021,124.4394619
industrials,15/09/2021,123.5532778
industrials,01/10/2021,118.3287067
industrials,15/10/2021,122.0620685
industrials,01/11/2021,124.3255748
industrials,15/11/2021,126.218948
industrials,01/12/2021,118.6276603
industrials,15/12/2021,121.5638124
industrials,31/12/2021,124.6957079
utilities,22/01/2020,100
