DATE,Sweden,Percentage
2019-01-01,5.55397E+11,-0.519988405
2019-04-01,5.64467E+11,1.606825554
2019-07-01,5.72494E+11,1.402110764
2019-10-01,5.77748E+11,0.909393023
2020-01-01,5.60488E+11,-3.079459328
2020-04-01,5.15046E+11,-8.822901255
2020-07-01,5.54462E+11,7.108873106
2020-10-01,5.5752E+11,0.548500502
2021-01-01,5.64753E+11,1.280736889
2021-04-01,5.70952E+11,1.085730499
